rowid,poi_name,geography,latitude,longitude,geocoded_name,display_name,place_type,category,parking_facility_name,parking_confidence,parking_source,address,osm_id,error
72,Trader Joe's,South_Bay,37.4384518,-122.1576508,Trader Joe's,"Trader Joe's, 855, El Camino Real, Southgate, Palo Alto, Santa Clara County, California, 94301, United States",supermarket,,,none,,"855, El Camino Real, Southgate, Palo Alto, California, 94301",45978875,
73,Stanford Hospital,South_Bay,37.43429,-122.1769,Stanford Hospital,"Stanford Hospital, 500, Pasteur Drive, Stanford, Palo Alto, Santa Clara County, California, 94305, United States",hospital,,Stanford Hospital Parking,assumed,business_type,"500, Pasteur Drive, Palo Alto, California, 94305",891732466,
74,EVGR Building C,South_Bay,37.4265605,-122.1565345,"Escondido Village, EVGR Bldg C","Escondido Village, EVGR Bldg C, 726, Serra Street, Rains Houses, Stanford, Santa Clara County, California, 94305, United States",yes,,,none,,"726, Serra Street, California, 94305",688574375,
75,Databricks MTV,South_Bay,37.387102,-122.0615945,Databricks,"Databricks, 351, East Evelyn Avenue, Mountain View Corporate Center, Mountain View, Santa Clara County, California, 94041, United States",company,,,none,,"351, East Evelyn Avenue, Mountain View, California, 94041",31486931,
76,Amc Sunnyvale 12,South_Bay,37.374015,-122.030626,,"150, East McKinley Avenue, Sunnyvale, Santa Clara County, California, 94086, United States",retail,,,none,,"150, East McKinley Avenue, Sunnyvale, California, 94086",61697858,
77,Hotel Lucent,South_Bay,37.4513828,-122.1793299,Hotel Lucent,"Hotel Lucent, El Camino Real, Menlo Park, San Mateo County, California, 94025, United States",motel,,Hotel Lucent Parking,assumed,business_type,"El Camino Real, California, 94025",111762124,
78,Evvia Estiatorio,South_Bay,37.4450742,-122.1638093,Evvia Estiatorio,"Evvia Estiatorio, 420, Emerson Street, Downtown North, Palo Alto, Santa Clara County, California, 94301, United States",restaurant,,,none,,"420, Emerson Street, Downtown North, Palo Alto, California, 94301",132527968,
79,Hotel Avante,South_Bay,37.376207,-122.060969,Hotel Avante,"Hotel Avante, 860, East El Camino Real, Mountain View, Santa Clara County, California, 94040, United States",hotel,,Hotel Avante Parking,assumed,business_type,"860, East El Camino Real, Mountain View, California, 94040",382285871,
80,In-N-Out Burger,South_Bay,37.4209663,-122.0933269,,"Bayshore Freeway, Mountain View, Santa Clara County, California, 94043, United States",bicycle_parking,,Parking Facility,medium,osm_category,"Bayshore Freeway, Mountain View, California, 94043",840687434,
81,Target,South_Bay,37.4006861,-122.1061429,Target,"Target, 555, Showers Drive, Castro City, Mountain View, Santa Clara County, California, 94040, United States",department_store,,,none,,"555, Showers Drive, Castro City, Mountain View, California, 94040",31927448,
82,Molly Magees,South_Bay,37.3931072,-122.0790091,Opal,"Opal, 251, Castro Street, Mountain View, Santa Clara County, California, 94041, United States",nightclub,,,none,,"251, Castro Street, Mountain View, California, 94041",148028025,
83,MV Apartments,South_Bay,37.4043408,-122.1168569,,"Del Medio Avenue, Mountain View, Santa Clara County, California, 94022, United States",parking,,Parking Facility,medium,osm_category,"Del Medio Avenue, Mountain View, California, 94022",1377241870,
84,Equinox,South_Bay,37.4220456,-122.1385833,,"435, Acacia Avenue, Ventura, Palo Alto, Santa Clara County, California, 94306, United States",yes,,,none,,"435, Acacia Avenue, Ventura, Palo Alto, California, 94306",232276754,
85,Cascal,South_Bay,37.3911352,-122.0812365,Peet's Coffee,"Peet's Coffee, 420, Castro Street, Mountain View, Santa Clara County, California, 94039, United States",cafe,,,none,,"420, Castro Street, Mountain View, California, 94039",2157993889,
86,Hampton Inn & Suites Sunnyvale Silicon Valley,South_Bay,37.35437,-122.01519,Golfland USA,"Golfland USA, 855, East El Camino Real, Sunnyvale, Santa Clara County, California, 94087, United States",miniature_golf,,,none,,"855, East El Camino Real, Sunnyvale, California, 94087",49186561,
